"産業分類","事業所数","セルフサービス方式採用事業所数","従業者数（人）","従業者数（人）_うち男","従業者数（人）_うち女","個人事業主・無給家族従業者数（人）","個人事業主・無給家族従業者数（人）_うち男","個人事業主・無給家族従業者数（人）_うち女","有給役員（人）","有給役員（人）_うち男","有給役員（人）_うち女","常用雇用者_正社員・正職員数（人）","常用雇用者_正社員・正職員数（人）_うち男","常用雇用者_正社員・正職員数（人）_うち女","_パート・アルバイト等の数（人）","_パート・アルバイト等の数（人）_うち男","_パート・アルバイト等の数（人）_うち女","臨時雇用者数（人）","臨時雇用者数（人）_うち男","臨時雇用者数（人）_うち女","従業者・臨時雇用者のうち他への派遣従業者（人）","従業者・臨時雇用者のうち他への派遣従業者（人）_うち男","従業者・臨時雇用者のうち他への派遣従業者（人）_うち女","他からの派遣従業者数（人）","他からの派遣従業者数（人）_うち男","他からの派遣従業者数（人）_うち女","就業者数（人）","就業者数（人）_うち男","就業者数（人）_うち女","ﾊﾟｰﾄ･ｱﾙﾊﾞｲﾄなどの8時間換算雇用者数（人）","年間商品販売額　（万円）","その他の収入額（万円）","売場面積　（㎡）","１事業所当たり年間商品販売額　（万円）"
"559_他に分類されない卸売業","227.0","0.0","1488.0","854.0","634.0","112.0","79.0","33.0","191.0","125.0","66.0","730.0","522.0","208.0","455.0","128.0","327.0","36.0","15.0","21.0","4.0","2.0","2.0","91.0","71.0","20.0","1611.0","938.0","673.0","335.0","1.4681592E7","249771.0","0.0","64677.0"
"小売業計_","8457.0","949.0","47190.0","20450.0","26740.0","7797.0","4388.0","3409.0","2392.0","1537.0","855.0","13957.0","8662.0","5295.0","23044.0","5863.0","17181.0","2303.0","834.0","1469.0","45.0","15.0","30.0","194.0","117.0","77.0","49642.0","21386.0","28256.0","15181.0","8.6490002E7","3384249.0","1146116.0","10227.0"
"56_各種商品小売業","26.0","16.0","2397.0","551.0","1846.0","14.0","8.0","6.0","4.0","2.0","2.0","493.0","283.0","210.0","1886.0","258.0","1628.0","111.0","17.0","94.0","3.0","0.0","3.0","2.0","0.0","2.0","2507.0","568.0","1939.0","1190.0","6678965.0","60150.0","135835.0","256883.0"
"561_百貨店，総合スーパー","14.0","12.0","2342.0","538.0","1804.0","0.0","0.0","0.0","1.0","1.0","0.0","480.0","280.0","200.0","1861.0","257.0","1604.0","108.0","16.0","92.0","0.0","0.0","0.0","2.0","0.0","2.0","2452.0","554.0","1898.0","1170.0","6583045.0","59999.0","133015.0","470218.0"
"569_その他の各種商品小売業（従業者が常時50人未満のもの）","12.0","4.0","55.0","13.0","42.0","14.0","8.0","6.0","3.0","1.0","2.0","13.0","3.0","10.0","25.0","1.0","24.0","3.0","1.0","2.0","3.0","0.0","3.0","0.0","0.0","0.0","55.0","14.0","41.0","20.0","95920.0","151.0","2820.0","7993.0"
"57_織物・衣服・身の回り品小売業","1073.0","124.0","3906.0","1018.0","2888.0","844.0","390.0","454.0","179.0","110.0","69.0","986.0","342.0","644.0","1897.0","176.0","1721.0","99.0","20.0","79.0","2.0","0.0","2.0","4.0","0.0","4.0","4007.0","1038.0","2969.0","1449.0","4606456.0","13096.0","155675.0","4293.0"
"571_呉服・服地・寝具小売業","167.0","0.0","427.0","198.0","229.0","186.0","113.0","73.0","36.0","24.0","12.0","133.0","52.0","81.0","72.0","9.0","63.0","5.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","432.0","201.0","231.0","58.0","278889.0","3801.0","12801.0","1670.0"
"572_男子服小売業","113.0","10.0","452.0","215.0","237.0","75.0","50.0","25.0","31.0","20.0","11.0","154.0","108.0","46.0","192.0","37.0","155.0","12.0","8.0","4.0","0.0","0.0","0.0","3.0","0.0","3.0","467.0","223.0","244.0","157.0","682802.0","908.0","25724.0","6042.0"
"573_婦人・子供服小売業","483.0","42.0","1580.0","316.0","1264.0","360.0","143.0","217.0","65.0","35.0","30.0","443.0","84.0","359.0","712.0","54.0","658.0","58.0","3.0","55.0","2.0","0.0","2.0","1.0","0.0","1.0","1637.0","319.0","1318.0","569.0","2012582.0","2002.0","58633.0","4167.0"
"574_靴・履物小売業","67.0","11.0","194.0","85.0","109.0","46.0","19.0","27.0","12.0","9.0","3.0","62.0","40.0","22.0","74.0","17.0","57.0","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","197.0","88.0","109.0","59.0","284857.0","63.0","7830.0","4252.0"
"579_その他の織物・衣服・身の回り品小売業","243.0","61.0","1253.0","204.0","1049.0","177.0","65.0","112.0","35.0","22.0","13.0","194.0","58.0","136.0","847.0","59.0","788.0","21.0","3.0","18.0","0.0","0.0","0.0","0.0","0.0","0.0","1274.0","207.0","1067.0","606.0","1347326.0","6322.0","50687.0","5545.0"
"58_飲食料品小売業","2653.0","597.0","18858.0","6937.0","11921.0","2980.0","1588.0","1392.0","495.0","326.0","169.0","3108.0","1890.0","1218.0","12275.0","3133.0","9142.0","732.0","250.0","482.0","17.0","7.0","10.0","23.0","12.0","11.0","19596.0","7192.0","12404.0","7593.0","2.8266183E7","240750.0","352880.0","10654.0"
"581_各種食料品小売業","294.0","168.0","7006.0","2225.0","4781.0","239.0","117.0","122.0","24.0","15.0","9.0","1138.0","835.0","303.0","5605.0","1258.0","4347.0","115.0","31.0","84.0","0.0","0.0","0.0","4.0","3.0","1.0","7125.0","2259.0","4866.0","3195.0","1.3964222E7","93256.0","179833.0","47497.0"
"582_野菜・果実小売業","187.0","38.0","787.0","288.0","499.0","208.0","110.0","98.0","59.0","42.0","17.0","166.0","90.0","76.0","354.0","46.0","308.0","87.0","13.0","74.0","1.0","0.0","1.0","0.0","0.0","0.0","873.0","301.0","572.0","245.0","1064716.0","32139.0","17284.0","5694.0"
"583_食肉小売業","114.0","4.0","452.0","222.0","230.0","139.0","82.0","57.0","34.0","20.0","14.0","117.0","77.0","40.0","162.0","43.0","119.0","27.0","19.0","8.0","1.0","1.0","0.0","0.0","0.0","0.0","478.0","240.0","238.0","124.0","462260.0","2368.0","6503.0","4055.0"
"584_鮮魚小売業","156.0","5.0","435.0","234.0","201.0","219.0","140.0","79.0","24.0","21.0","3.0","101.0","46.0","55.0","91.0","27.0","64.0","15.0","5.0","10.0","2.0","1.0","1.0","0.0","0.0","0.0","448.0","238.0","210.0","76.0","348528.0","432.0","6036.0","2234.0"
"585_酒小売業","478.0","22.0","1181.0","570.0","611.0","666.0","319.0","347.0","92.0","57.0","35.0","200.0","111.0","89.0","223.0","83.0","140.0","16.0","3.0","13.0","0.0","0.0","0.0","3.0","3.0","0.0","1200.0","576.0","624.0","142.0","1353448.0","10934.0","20543.0","2831.0"
"586_菓子・パン小売業","419.0","67.0","1800.0","537.0","1263.0","449.0","238.0","211.0","66.0","41.0","25.0","409.0","157.0","252.0","876.0","101.0","775.0","77.0","10.0","67.0","0.0","0.0","0.0","1.0","0.0","1.0","1878.0","547.0","1331.0","602.0","940497.0","11943.0","18054.0","2245.0"
"589_その他の飲食料品小売業","1005.0","293.0","7197.0","2861.0","4336.0","1060.0","582.0","478.0","196.0","130.0","66.0","977.0","574.0","403.0","4964.0","1575.0","3389.0","395.0","169.0","226.0","13.0","5.0","8.0","15.0","6.0","9.0","7594.0","3031.0","4563.0","3209.0","1.0132512E7","89678.0","104627.0","10082.0"
"59_機械器具小売業","1161.0","0.0","6103.0","4274.0","1829.0","1026.0","759.0","267.0","463.0","328.0","135.0","3699.0","2802.0","897.0","915.0","385.0","530.0","98.0","70.0","28.0","3.0","1.0","2.0","45.0","24.0","21.0","6243.0","4367.0","1876.0","777.0","1.5920828E7","2410201.0","122134.0","13713.0"
"591_自動車小売業","624.0","0.0","3726.0","2901.0","825.0","504.0","392.0","112.0","288.0","204.0","84.0","2621.0","2146.0","475.0","313.0","159.0","154.0","38.0","28.0","10.0","2.0","1.0","1.0","22.0","13.0","9.0","3784.0","2941.0","843.0","279.0","1.0939046E7","1993846.0","35106.0","17531.0"
"592_自転車小売業","47.0","0.0","103.0","82.0","21.0","56.0","46.0","10.0","3.0","2.0","1.0","25.0","20.0","5.0","19.0","14.0","5.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","104.0","82.0","22.0","16.0","86937.0","8713.0","4219.0","1850.0"
"593_機械器具小売業（自動車，自転車を除く）","490.0","0.0","2274.0","1291.0","983.0","466.0","321.0","145.0","172.0","122.0","50.0","1053.0","636.0","417.0","583.0","212.0","371.0","59.0","42.0","17.0","1.0","0.0","1.0","23.0","11.0","12.0","2355.0","1344.0","1011.0","482.0","4894845.0","407642.0","82809.0","9989.0"
"60_その他の小売業","3351.0","212.0","14937.0","7111.0","7826.0","2809.0","1569.0","1240.0","1150.0","701.0","449.0","5170.0","3020.0","2150.0","5808.0","1821.0","3987.0","1217.0","467.0","750.0","19.0","7.0","12.0","120.0","81.0","39.0","16255.0","7652.0","8603.0","3995.0","2.8188373E7","628803.0","379592.0","8412.0"
